State,FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Clean Fuels , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicles
GA,13169,Jones County,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,12,11,33,10,0,49
GA,13171,Lamar County,0,0,0,0,0,0,0,0,52,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,255
GA,13173,Lanier County,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
GA,13175,Laurens County,12,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,25,37,64,30,0,378
GA,13177,Lee County,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,37,16,0,131
GA,13179,Liberty County,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,12,18,27,11,0,315
GA,13181,Lincoln County,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,12,0,0,20
GA,13183,Long County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
GA,13185,Lowndes County,0,0,0,0,15,0,0,12,161,231,0,13,0,0,46,0,17,0,0,0,81,117,213,80,0,456
GA,13187,Lumpkin County,13,0,0,0,0,0,0,0,23,0,0,0,0,0,84,0,0,0,0,0,0,14,39,0,0,90
GA,13189,McDuffie County,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,20,22,38,19,0,347
GA,13191,McIntosh County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
GA,13193,Macon County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
GA,13195,Madison County,259,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,0,58
GA,13197,Marion County,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,49
GA,13199,Meriwether County,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,12,0,0,0,0,0,20,0,0,750
